,Source,Dest,SourceID,DestID,SourceLon,DestLon,SourceLat,DestLat
12748,JFK,MAN,3797,478,-73.77890015,-2.2749500274658203,40.63980103,53.35369873046875
12752,JFK,YYZ,3797,193,-73.77890015,-79.63059997559999,40.63980103,43.6772003174
12774,LHR,ATL,507,3682,-0.461941,-84.428101,51.4706,33.6367
12799,LHR,YYZ,507,193,-0.461941,-79.63059997559999,51.4706,43.6772003174
12809,MAD,FRA,1229,340,-3.56264,8.570556,40.471926,50.033333
12818,MAN,JFK,478,3797,-2.2749500274658203,-73.77890015,53.35369873046875,40.63980103
12819,MAN,ORD,478,3830,-2.2749500274658203,-87.9048,53.35369873046875,41.9786
12824,MIA,CDG,3576,1382,-80.29060363769531,2.55,25.79319953918457,49.012798
12841,ORD,CDG,3830,1382,-87.9048,2.55,41.9786,49.012798
12847,ORD,MAN,3830,478,-87.9048,-2.2749500274658203,41.9786,53.35369873046875
12905,YYZ,JFK,193,3797,-79.63059997559999,-73.77890015,43.6772003174,40.63980103
12906,YYZ,LHR,193,507,-79.63059997559999,-0.461941,43.6772003174,51.4706
12937,AMS,DUS,580,345,4.76389,6.766780000000001,52.308601,51.289501
12938,AMS,DXB,580,2188,4.76389,55.3643989563,52.308601,25.252799987800003
12976,ATL,CDG,3682,1382,-84.428101,2.55,33.6367,49.012798
12979,ATL,CLT,3682,3876,-84.428101,-80.94309997558594,33.6367,35.2140007019043
12985,ATL,DEN,3682,3751,-84.428101,-104.672996521,33.6367,39.861698150635
12986,ATL,DFW,3682,3670,-84.428101,-97.038002,33.6367,32.896801
12989,ATL,EWR,3682,3494,-84.428101,-74.168701171875,33.6367,40.69250106811523
12990,ATL,FCO,3682,1555,-84.428101,12.238888900000001,33.6367,41.800277799999996
12999,ATL,IAH,3682,3550,-84.428101,-95.34140014648438,33.6367,29.98439979553223
13005,ATL,JFK,3682,3797,-84.428101,-73.77890015,33.6367,40.63980103
13006,ATL,LAS,3682,3877,-84.428101,-115.15200039999999,33.6367,36.08010101
13007,ATL,LAX,3682,3484,-84.428101,-118.40799709999999,33.6367,33.94250107
13012,ATL,MEX,3682,1824,-84.428101,-99.072098,33.6367,19.4363
